Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data_interno,Chrome 108.0.0.0,,,2022-12-26 15:08:50,2022-12-26 15:09:52,1m - 2.081s,PASSED
,,,,,,,
Test Cases/Data_excell/Data_excell,Chrome 108.0.0.0,,,2022-12-26 15:08:50,2022-12-26 15:09:15,24.286s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-26 15:08:51,2022-12-26 15:08:55,3.847s,PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 108.0.0.0,,,2022-12-26 15:08:55,2022-12-26 15:09:07,12.074s,PASSED
waitForPageLoad(30),Chrome 108.0.0.0,,,2022-12-26 15:09:07,2022-12-26 15:09:07,0.231s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2022-12-26 15:09:07,2022-12-26 15:09:07,0.422s,PASSED
"setText(findTestObject(""Object Repository/Data_externaExc/Page_ToolsQA/input_Name_firstName""), nombre)",Chrome 108.0.0.0,,,2022-12-26 15:09:07,2022-12-26 15:09:10,3.077s,PASSED
"setText(findTestObject(""Object Repository/Data_externaExc/Page_ToolsQA/input_Name_lastName""), apellido)",Chrome 108.0.0.0,,,2022-12-26 15:09:10,2022-12-26 15:09:11,1.047s,PASSED
"setText(findTestObject(""Object Repository/Data_externaExc/Page_ToolsQA/input_Email_userEmail""), email)",Chrome 108.0.0.0,,,2022-12-26 15:09:11,2022-12-26 15:09:13,1.047s,PASSED
delay(2),Chrome 108.0.0.0,,,2022-12-26 15:09:13,2022-12-26 15:09:15,2.024s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-26 15:09:15,2022-12-26 15:09:15,0.206s,PASSED
,,,,,,,
Test Cases/Data_excell/Data_excell,Chrome 108.0.0.0,,,2022-12-26 15:09:15,2022-12-26 15:09:52,37.150s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-26 15:09:15,2022-12-26 15:09:17,1.762s,PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 108.0.0.0,,,2022-12-26 15:09:17,2022-12-26 15:09:46,29.538s,PASSED
waitForPageLoad(30),Chrome 108.0.0.0,,,2022-12-26 15:09:46,2022-12-26 15:09:46,0.069s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2022-12-26 15:09:46,2022-12-26 15:09:47,0.447s,PASSED
"setText(findTestObject(""Object Repository/Data_externaExc/Page_ToolsQA/input_Name_firstName""), nombre)",Chrome 108.0.0.0,,,2022-12-26 15:09:47,2022-12-26 15:09:48,1.295s,PASSED
"setText(findTestObject(""Object Repository/Data_externaExc/Page_ToolsQA/input_Name_lastName""), apellido)",Chrome 108.0.0.0,,,2022-12-26 15:09:48,2022-12-26 15:09:49,0.943s,PASSED
"setText(findTestObject(""Object Repository/Data_externaExc/Page_ToolsQA/input_Email_userEmail""), email)",Chrome 108.0.0.0,,,2022-12-26 15:09:49,2022-12-26 15:09:50,0.857s,PASSED
delay(2),Chrome 108.0.0.0,,,2022-12-26 15:09:50,2022-12-26 15:09:52,2.007s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-26 15:09:52,2022-12-26 15:09:52,0.216s,PASSED
